street,coordinates
улица Грибоедова,"[(56.0762274, 54.8443244), (56.0764388, 54.8417818), (56.0764409, 54.8417633)]"
Новоалександровское шоссе,"[(56.0762274, 54.8443244), (56.0755827, 54.8431394), (56.0754863, 54.8425996), (56.0755612, 54.8417567)]"
Новоалександровское шоссе,"[(56.0762274, 54.8443244), (56.0763747, 54.8447587), (56.0764413, 54.8451861), (56.076543, 54.8469556), (56.0765776, 54.8480553), (56.0767206, 54.8487302), (56.0769137, 54.8496891), (56.0769629, 54.849999), (56.0769071, 54.8502164), (56.0768283, 54.8504223), (56.0766544, 54.8506529)]"
Новоалександровское шоссе,"[(56.0660353, 54.8302739), (56.0666925, 54.8303091)]"
Кемеровская улица,"[(56.0660353, 54.8302739), (56.0657235, 54.830141), (56.0654528, 54.8298785), (56.0652876, 54.8295602)]"
,"[(56.0660353, 54.8302739), (56.0654685, 54.8303898), (56.0645852, 54.8304611), (56.0640791, 54.8304822)]"
Кемеровская улица,"[(56.0652876, 54.8295602), (56.065114, 54.8289353)]"
Кемеровская улица,"[(56.0652876, 54.8295602), (56.0654528, 54.8298785), (56.0657235, 54.830141), (56.0660353, 54.8302739)]"
,"[(56.0652876, 54.8295602), (56.0649223, 54.8294967), (56.0646702, 54.8294981), (56.0644352, 54.829533)]"
улица Комарова,"[(56.0645477, 54.8254169), (56.0639633, 54.8252471)]"
улица Максима Горького,"[(56.0645477, 54.8254169), (56.0647756, 54.8254092), (56.0649525, 54.8254032), (56.0669656, 54.8254171), (56.0670596, 54.8254177)]"
Кемеровская улица,"[(56.0645477, 54.8254169), (56.0645673, 54.8255116), (56.0648251, 54.8267548), (56.0648788, 54.8270138)]"
улица Достоевского,"[(55.9420615, 54.7348915), (55.9427451, 54.7347817), (55.9447812, 54.7344547), (55.9450153, 54.7344171)]"
Айская улица,"[(55.9777919, 54.7292781), (55.9778356, 54.729378), (55.9778731, 54.7294638), (55.9780865, 54.7299516), (55.9784233, 54.7307215), (55.9787348, 54.7314336), (55.9787984, 54.731579)]"
улица Достоевского,"[(55.9777919, 54.7292781), (55.9774228, 54.7293363), (55.9770336, 54.7293976), (55.9767327, 54.7294451), (55.9754484, 54.7296475), (55.9748748, 54.7297379), (55.9734652, 54.7299601), (55.9719978, 54.7301914), (55.9719045, 54.7302061)]"
Айская улица,"[(55.9777919, 54.7292781), (55.977728, 54.7291449), (55.9773901, 54.7283866), (55.9773693, 54.728343), (55.9770329, 54.7276237)]"
улица Гоголя,"[(55.9385639, 54.7275609), (55.9385987, 54.7276347), (55.9386851, 54.7278229), (55.9389447, 54.7283891), (55.9392059, 54.7289589)]"
Коммунистическая улица,"[(55.9385639, 54.7275609), (55.9383432, 54.7275993), (55.9374027, 54.727762), (55.9357639, 54.7280459), (55.935693, 54.7280582)]"
